State_Name,District_Name,Crop,Main_Season,Yield,Area,Production,Years_Grown,Suitability,state_enc,district_enc,crop_enc,season_enc
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,SWEET POTATO,Whole Year,6.273273213359403,81.15,460.175,2,28.308963928015643,0,559,111,2
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,TAPIOCA,Whole Year,6.531033980935749,105.66666666666667,620.0,3,35.91862038856144,0,559,112,2
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,TURMERIC,Rabi,10.5,10.0,105.0,1,9.4,0,559,117,1
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,TURMERIC,Whole Year,6.500611995104039,45.85,316.0,2,17.855367197062424,0,559,117,2
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,URAD,Rabi,0.44264705882352945,34.0,15.05,1,10.565588235294117,0,559,119,1
ANDHRA PRADESH,ANANTAPUR,ARECANUT,Kharif,0.4759073322414489,505.5,244.0,2,152.13554439934487,1,24,2,0
ANDHRA PRADESH,ANANTAPUR,ARECANUT,Whole Year,1.020348269887483,315.4,290.8,10,96.23220896193249,1,24,2,2
ANDHRA PRADESH,ANANTAPUR,ARHAR/TUR,Kharif,0.24988546072450357,37013.705882352944,8797.470588235294,17,11105.96169598232,1,24,3,0
ANDHRA PRADESH,ANANTAPUR,ARHAR/TUR,Rabi,0.20177640676523773,93.25,25.75,4,28.49606584405914,1,24,3,1
ANDHRA PRADESH,ANANTAPUR,BAJRA,Kharif,0.8880958800026448,1660.8333333333333,1353.5555555555557,18,500.58285752800157,1,24,6,0
ANDHRA PRADESH,ANANTAPUR,BAJRA,Rabi,0.7975741864068394,82.0,54.93333333333333,15,26.5785445118441,1,24,6,1
ANDHRA PRADESH,ANANTAPUR,BANANA,Whole Year,43.893354624979,2751.0,141794.5,12,852.8360127749874,1,24,7,2
ANDHRA PRADESH,ANANTAPUR,BEANS & MUTTER(VEGETABLE),Whole Year,5.0,1.0,5.0,1,3.4,1,24,10,2
ANDHRA PRADESH,ANANTAPUR,BHINDI,Whole Year,8.044004400440045,113.5,905.5,2,39.07640264026403,1,24,13,2
